Ticker,Year,Month,Date,Option Type,Strike Price
PVH,23,01,20,C,75
TGT,22,12,23,P,143
SQ,22,12,16,C,74
NVDA,22,12,16,C,172.5
NVDA,22,12,16,C,172.5
MMM,22,12,16,C,134
MMM,22,12,23,C,134
PVH,22,12,16,C,75
NVDA,22,12,16,C,175
SQ,22,12,16,P,63
BBWI,22,12,02,C,40.5
SQ,22,11,18,C,79
NVDA,22,11,18,C,162.5
SQ,22,11,18,C,72
MMM,22,11,18,C,134
MMM,22,11,25,C,134
C,22,11,18,C,51
BBWI,22,11,18,P,35.5
BBWI,22,11,18,C,39
WDC,22,11,18,C,45
NVDA,22,11,18,P,160
DD,22,11,04,C,58
SPG,22,11,18,C,110
INGR,22,11,18,C,90
AIG,22,11,04,C,55
GILD,22,10,28,C,71
EMR,22,10,28,C,86
DD,22,10,28,C,58
AIG,22,10,28,C,55
NVDA,22,09,16,P,143
GILD,22,09,16,P,68
EMR,22,09,16,C,86
COIN,22,09,16,C,84
C,22,09,16,C,51
BBWI,22,09,16,C,40.5
AIG,22,09,16,P,56
AIG,22,09,16,C,57
WDC,22,09,16,C,45
DD,22,09,16,C,60
NVDA,22,09,02,P,162.5
WDC,22,09,02,P,45
SQ,22,09,02,P,69
MMM,22,09,02,P,130
C,22,09,02,P,50
AIG,22,09,02,P,53
GE,22,08,26,P,74
EMR,22,08,26,P,86
DD,22,08,26,P,58
COIN,22,08,12,C,91
SQ,22,08,12,C,89
BBWI,22,08,19,C,39
MU,22,08,12,C,63
MGM,22,08,12,C,35
META,22,08,12,C,180
SPG,22,08,19,C,115
MMM,22,08,19,C,150
INGR,22,08,19,C,95
MGM,22,07,22,C,31.5
SQ,22,07,29,C,78
TPR,22,07,29,C,33
COIN,22,07,29,C,70
META,22,07,22,C,175
MU,22,07,22,C,63
MS,22,07,22,C,79
DIS,22,07,22,C,100
C,22,07,22,C,51
BAC,22,07,22,C,33
MU,22,07,01,C,62.5
MGM,22,07,01,C,31.5
META,22,07,01,C,175
TPR,22,07,01,C,33
SQ,22,07,01,C,78
SBUX,22,07,01,C,78
MMM,22,07,01,C,138
C,22,07,01,C,48
BAC,22,07,01,C,33
SPG,22,07,15,C,110
INGR,22,07,15,C,90
MS,22,07,01,C,77.5
TWTR,22,06,24,C,39
DIS,22,07,01,C,100
WFC,22,06,24,C,40
C,22,06,24,C,48
BAC,22,06,24,C,33
META,22,06,17,P,175
SBUX,22,06,17,P,76
MMM,22,06,17,P,138
MGM,22,06,17,P,31.5
C,22,06,17,P,47
INGR,22,06,17,P,90
TWTR,22,06,17,P,39
MU,22,06,17,P,62.5
MS,22,06,17,P,77.5
BAC,22,06,17,P,33
WFC,22,06,17,P,40
DIS,22,06,17,P,100
SQ,22,06,10,P,78
COIN,22,06,10,C,70
BBWI,22,06,03,P,39
SQ,22,06,03,P,81.5
COIN,22,06,03,P,68
PYPL,22,06,03,P,81
NFLX,22,06,03,P,185
PSTG,22,06,17,P,24
SPG,22,06,17,P,110
GM,22,05,27,C,35.5
BAC,22,05,27,C,35.5
DIS,22,05,27,C,104
KHC,22,05,27,C,39
INTC,22,05,27,C,42
TWTR,22,05,20,P,36.5
DIS,22,05,20,P,104
V,22,05,20,P,197.5
KHC,22,05,20,P,38.5
INTC,22,05,20,P,42
GM,22,05,20,P,35.5
FB,22,05,20,P,192.5
CMCSA,22,05,20,P,42
C,22,05,20,P,49
BAC,22,05,20,P,34.5
FITB,22,05,20,P,35
CRM,22,05,20,P,155
TPR,22,04,29,C,33
PVH,22,05,20,P,75
TPR,22,04,22,P,33
